Name,AlternativeName,Description
Kyrgyz Republic,Кыргызстан,official Kyrgyz short name
Latvia,Latvia,"common, English"
Latvia,Latvija,"common, Latvian"
Latvia,Letland,"Dutch, Danish"
Latvia,Letonija,Serbian
Latvia,Letonnie,French
Latvia,Lettland,"German, Swedish"
Lebanon,Al-Jumhuriyya Al-Lubnaniyya,"official, Arabic"
Lebanon,Lebanon,"common, English"
Lebanon,Lebnan,"Common, Arabic"
Lebanon,Liban,"Common, French"
Lebanon,Lubnan,"Common, Arabic"
Lebanon,The Lebanese Republic,"official, English"
Lesotho,Basutoland,"former, English"
Lesotho,Kingdom of Lesotho,"official, English"
Lesotho,Lesotho,"common, English"
Lithuania,Lietuva,"common, Lithuanian"
Lithuania,Lithuania,"common, English"
Lithuania,Litva,"common, Russian"
Lithuania,Литва,"common, Russian"
Luxembourg,Grand Duchy of Luxembourg,"official, English"
Luxembourg,Grand-Duché de Luxembourg,"official, French"
Luxembourg,Großherzogtum Luxemburg,"official, German"
Luxembourg,Groussherzogdem Lëtzebuerg,"official, Luxembourgish"
Luxembourg,Lëtzebuerg,"common, Luxembourgish"
Luxembourg,Lussemburgo,"common, Italian"
Luxembourg,Luxembourg,"common, English"
Luxembourg,Luxemburg,"common, German"
Luxembourg,Luxemburgo,"common, Spanish & Portuguese"
Macedonia (FYROM),FYROM,English
Macedonia (FYROM),Macedonia,official Macedonian
Macedonia (FYROM),Paeonia,"Latin name, poetic"
Macedonia (FYROM),Republic of Macedonia,"official, English"
Macedonia (FYROM),The former Yugoslav Republic of Macedonia,English
Macedonia (FYROM),Vardar Banovina,former Yugoslav province
Macedonia (FYROM),Македонија,official Macedonian
Malawi,Malawi,"common, English"
Malawi,Nyasaland,"former, English"
Malawi,Republic of Malawi,"official, English"
Malaysia,Federation of Malaysia,"official long form, English"
Malaysia,Mǎláixīyà,"common, Mandarin"
Malaysia,Malaya,"former, English names of the various components"
Malaysia,Malaysia,"official, English"
Malaysia,Malesiya,"common, Tamil"
Malaysia,Persekutuan Malaysia,"official long form, Malay"
Malaysia,Sabah and Sarawak,"former, English names of the various components"
Malaysia,Tanah Melayu or Malay Land,"former, Malay"
Malaysia,மலேசியா,"common, Tamil"
Malaysia,马来西亚,"common, Mandarin"
Maldives,Dhibat-al-Mahal,"ancient, Arabic"
Maldives,Dhivehi Raajje,"official, Dhivehi"
Maldives,Mahal Dvipa or मालदीव,"ancient, Sanskrit"
Maldives,Maldives,"common, English"
Maldives,Maléldvipa,"ancient, Sanskrit"
Maldives,Republic of the Maldives,"official, English"
Maldives,The Maldive Islands,"colloquial, colonial"
Maldives,الدولة المحلديبية,"ancient, Arabic"
Maldives,ދިވެހިރާއްޖެ,"official, Dhivehi"
Mauritania,Islamic Republic of Mauritania,"official, English"
Mauritania,Mauritania,"common, English"
Mauritania,République Islamique de Mauritanie,"official, French"
Mexico,Aztlán,"Spanish, Nahuatl"
Mexico,Aztlān,"Spanish, Nahuatl"
Mexico,Estados Unidos Mexicanos,"official, Spanish"
Mexico,Méjico,Spanish variant
Mexico,MEX,"initialism, English"
Mexico,Mexico,"shortened form, English"
Mexico,México,Spanish short form
Mexico,MX,"initialism, English"
Mexico,República Mexicana,"Only heard in Mexico, colloquial, Spanish"
Mexico,United Mexican States,"official, English"
Moldova,Bassarabia,"historic name, still used by irredentists"
Moldova,Bessarabia,
Moldova,Boğdan,"'Land of Voyvoda I. Bogdan', former common and official name during Ottoman Empire, Turkish"
Moldova,Moldau,in German
Moldova,Moldavia,is an alternative name in English
Moldova,Moldavian Soviet Socialist Republic,"former Soviet name, English"
Moldova,Moldova,English
Moldova,Republic of Moldova,"official, English"
Moldova,Republica Moldova,"official, Moldovan and Romanian"
Moldova,Република Советикэ Сочиалистэ Молдовеняскэ,"former Soviet name, Moldovan"
Morocco,Al Maghribiya,"official, Arabic"
Morocco,Al Mamkaka,"official, Arabic"
Morocco,Kingdom of Morocco,"official, English"
Morocco,Maghreb,"The Sunset Country, English"
Morocco,Morocco,English
Myanmar,Burma,colloquial
Myanmar,Myanmar,English
Myanmar,Republic of the Union of Myanmar,"official, English"
Nepal,Federal Democratic Republic Of Nepal,"official, English"
Nepal,Nepal,"common, English"
Nepal,saṃghiya lokatāntrika gaṇatantra nepāla,"official, Nepalese"
Nepal,संघिय लोकतान्त्रिक गणतन्त्र नेपाल,"official, Nepalese"
Netherlands,Batavia,"former and poetic, Dutch and other languages"
Netherlands,Holland,"pars pro toto, English, Dutch and other languages"
Netherlands,Kingdom of the Netherlands,"official, English"
Netherlands,Koninkrijk der Nederlanden,"official, Dutch"
Netherlands,Nederland,Dutch
Netherlands,Netherlands,"official, English"
Netherlands,Pays-Bas,"French, used alongside ""Netherlands"" as names in the two official languages of the Int'l Olympic Committee"
New Zealand,Aotearoa,"official, Maori"
New Zealand,Dominion of New Zealand,"former official, English"
New Zealand,New Zealand,"official, English"
New Zealand,Realm of New Zealand,"official English name including Cook Islands, Niue, Tokelau, and Ross Dependency"
Norway,Kingdom of Norway,"official, English"
Norway,Kongeriket Noreg,"official, Norwegian Nynorsk"
Norway,Kongeriket Norge,"official, Norwegian Bokmål"
Norway,Noreg,"common, Norwegian Nynorsk"
Norway,Norge,"common, Norwegian Bokmål, Danish, Swedish"
Norway,Norway,"common, English"
Pakistan,Dominion of Pakistan,"historic official name, English"
Pakistan,Federation of Pakistan,"alternate official name, English"
Pakistan,Indoscythia,unofficial historical names
Pakistan,Islamic Republic of Pakistan,"official and constitutional, English"
Pakistan,Pakistan,"common, English"
Pakistan,Sindhustan,unofficial historical names
Pakistan,West Pakistan,"common and later official name for the area now covering Pakistan, used when discussing the polity before the secession of Bangladesh, English"
Peru,Peru,"common, English"
Peru,Perú,"common, Spanish"
Peru,Peruvian Republic,"former official name, English"
Peru,Republic of Peru,"official, English"
Peru,República del Perú,"official, Spanish"
Peru,República Peruana,"former official name, Spanish"
Philippines,Filipina,"common, Malay"
Philippines,Filipinas,"common Spanish and other local languages, contraction of following"
Philippines,Haríng Bayang Katagalugan,"""Sovereign Tagalog Nation"", historical, by Andrés Bonifacio"
Philippines,Islas de San Lázaro,"""Isles of Saint Lazarus"", historical, by Ferdinand Magellan"
Philippines,Las Islas Felipenas,"historical, by Ruy Lopez de Villalobos"
Philippines,Las Islas Filipinas,"named after Philip II of Spain, historical, Spanish; originally corruption of the following"
Philippines,PH,"official initialism, changed from RP to avoid confusion with Poland, English"
Philippines,Philippine Islands,"historic; official name under American control; also used colloquially, English"
Philippines,Philippines,"common, English"
Philippines,Pilipinas,"common, many local languages; corruption of the Spanish, Filipinas"
Philippines,Pinás,colloquial
Philippines,Republic of the Philippines,"official, English"
Philippines,Repúblika ng Pilipinas,"official, Filipino"
Poland,People's Republic of Poland,"former Communist name, English"
Poland,Poland,"common, English"
Poland,Polish-Lithuanian Commonwealth,"historic official name, English"
Poland,Polska,"common, Polish"
Poland,Polska Rzeczpospolita Ludowa,"former Communist name, Polish"
Poland,Republic of Poland,"official, English"
Poland,RP,"often journalistic, Polish"
Poland,Rzeczpospolita,"historic common name, Polish"
Poland,Rzeczpospolita Obojga Narodów,"historic official name, Polish"
Poland,Rzeczpospolita Polska,"official, Polish"
Poland,United Commonwealth of the Two Nations,"historic official name, English"
Portugal,Burtughāl,in Arabic
Portugal,Galaico-Portuguese nation and Portucale,"from the Gallaeci tribe, Celtic Gale and Roman-Celtic Portus Cale"
Portugal,Galician-Portuguese,ethnic term derived from the original language
Portugal,Lusitania,"official, Latin"
Portugal,Lusitaniae,Latin
Portugal,Luxitania,
Portugal,Ocidental Praia Lusitana,Western Lusitanian Beach
Portugal,Ophiussa also spelled Ophiusa,the ancient Greek name of what is now the Portuguese territory. It means Land of Serpents
Portugal,Pátria Lusitana,Lusitanian Fatherland
Portugal,Portingal,common classical English and other late medieval Germanic languages
Portugal,Portingall,
Portugal,Portugal,English
Portugal,Portugalensis patrie,
Portugal,Portugalensium patrie and Portugaliae,King Afonso I
Portugal,Portugalliae,
Portugal,Portugalliae et Algarbiae,
Portugal,Portugraal,Port of Grail
Portugal,Portuguese Republic,"official, English"
Portugal,Purtugall,Middle Ages
Portugal,Regno Portugalensium and Portugalis,"Latin, Medieval"
Romania,Kingdom of Romania,"name under monarchy, English"
Romania,Regatul României,"name under monarchy, Romanian"
Romania,Republica Populară Romînă,"former Communist name, Romanian"
Romania,Republica Socialistă România,"former Communist name, Romanian"
Romania,Romania,English
Romania,România,"official, Romanian"
Romania,Romanian People's Republic,"former Communist name, English"
Romania,Roumania,"archaic, English"
Romania,Socialist Republic of Romania,"former Communist name, English"
Russia,Great Russia,obsolete name
Russia,RF,"initialism, English"
Russia,Rossiya,"common, Russian"
Russia,RSFSR,former name initialism
Russia,Rus,"poetic or obsolete name, ambiguous"
Russia,Russia,"official and common name, ambiguous, English"
Russia,Russian Federation,official English description
Russia,Russian Socialist Federative Soviet Republic,"former name, 1918–1936"
Russia,Russian Soviet Federative Socialist Republic,"former name, 1936–1991"
Russia,Russland,German
Russia,Sovetskiy Soyuz,"common former name, transliterated"
Russia,Soviet Union,former name
Russia,Soyuz Sovetskikh Sotsialisticheskikh Respublik,"former official name, transliterated"
Russia,SSSR,former initialism
Russia,SU,"common, but former initialism, English"
Russia,Union of Soviet Socialist Republics,official former name
Russia,USSR,former initialism
Russia,Российская Федерация,official Russian
Russia,Россия,"common, Russian"
Russia,Сове́тский Сою́з,"common former name, Russian"
Russia,Союз Советских Социалистических Республик,"former official name, Russian"
Russia,СССР,"former initialism, Russian"
Rwanda,Pays des mille collines,"poetic, French"
Rwanda,Republic of Rwanda,"official, English"
Rwanda,République du Rwanda,"official, French"
Rwanda,Repubulika y'u Rwanda,"official, Kinyarwanda"
Rwanda,Ruanda,former colonial name
Rwanda,Rwanda,English
Rwanda,Rwandese Republic,"official, English"
Saudi Arabia,Al-Mamlaka al-Arabiyya as-Saudiyya,official name in Arabic
Saudi Arabia,Hijaz,Arabic
Saudi Arabia,Kingdom of Saudi Arabia,"official, English"
Saudi Arabia,KSA,"initialism, English"
Saudi Arabia,Riyadh regime,used in Iran's news media
Saudi Arabia,Saudi Arabia,"common, English"
Saudi Arabia,Saudia,"former in English, common in Arabic"
Singapore,Ciŋkappūr,"common, Tamil"
Singapore,little red dot,colloquial; originally derogatory
Singapore,Pulau Ujong,"historical, ancient"
Singapore,Republic of Singapore,"official, English"
Singapore,Shōnan-tō,"former, Japanese occupation"
Singapore,Singapore,"common, English"
Singapore,Singapura,"common, Malay"
Singapore,Sinhapura,"Sanskrit, i.e., Land of Lions"
Singapore,Xīnjiāpō,"common, Chinese"
Singapore,சிங்கப்பூர்,"common, Tamil"
Singapore,新加坡,"common, Chinese"
Singapore,昭南島,"former, Japanese occupation"
Slovak Republic,Slovak Republic,"official, English"
Slovak Republic,Slovak Socialist Republic,"former name, 1969 to 1990"
Slovak Republic,Slovakia,"common, English"
Slovak Republic,Slovenská republika,"official, Slovak"
Slovak Republic,Slovenská socialistická republika,"former name, Slovak"
Slovak Republic,Slovensko,"common, Slovak"
Slovak Republic,SR,English and Slovak initialism
Slovak Republic,SSR,English and Slovak initialism
South Africa,Azania,
South Africa,Mzansi,"Xhosa, for South"
South Africa,South Africa,"common, English"
South Africa,Suid-Afrika,"official, Afrikaans"
South Africa,Union of South Africa,"Colonial, pre-1961"
South Africa,Zuid-Afrika,"former official, Dutch"
Spain,Espainia,"common, Euskera"
Spain,España,"common, Spanish"
Spain,Espanya,"common, Catalan"
Spain,Hispania,Latin
Spain,Iberia,Latin
Spain,la pell de brau,"Catalan, ""the bull hide"", metaphoric name after the shape of the Iberian Peninsula"
Spain,la piel de toro,Spanish
Spain,Las Batuecas,derogatory name in the works of Mariano José de Larra
Spain,Reino de España,"official, Spanish"
Spain,Spain,English
Spain,Spanish State,"former name, also used now with political nuances"
Sri Lanka,Ceylon,"former, English"
Sri Lanka,Democratic Socialist Republic of Sri Lanka,"official, English"
Sri Lanka,elangai,"common, Tamil"
Sri Lanka,Heladiva,"Land of Sinhalese, former Sinhala"
Sri Lanka,Ratnadeepa,"Island of Gems, former Sinhala"
Sri Lanka,Sri Lanka,"common, Sanskrit, English"
Sri Lanka,Taprobane,one of the medieval names of Sri Lanka
Sri Lanka,இலங்கை,"common, Tamil"
Sri Lanka,இலங்கை சனநாயக சோசலிசக் குடியரசு,"official, Tamil"
St. Kitts & Nevis,Federation of Saint Christopher and Nevis,"co-official, English"
St. Kitts & Nevis,Federation of Saint Kitts and Nevis,"co-official, English"
St. Kitts & Nevis,Liamuiga and Oualie,"former indigenous names of the islands of Saint Kitts and Nevis, respectively"
St. Kitts & Nevis,Saint Christopher and Nevis,"alternate short-form, English"
St. Kitts & Nevis,Saint Christopher-Nevis-Anguilla,"former official, English"
St. Kitts & Nevis,Saint Kitts and Nevis,English
St. Kitts & Nevis,Saint Kitts or Saint Christopher,"shorthand, English"
St. Kitts & Nevis,Saint Kitts-Nevis-Anguilla,"former common, English"
St. Vincent & Grenadines,Hairouna,"former indigenous name, Carib"
St. Vincent & Grenadines,Saint Vincent and the Grenadines,English
Sudan,Anglo-Egyptian Sudan,"colonial name, English"
Sudan,Mahdist State,former English unofficial
Sudan,Nubia,"ancient name, also poetic"
Sudan,Republic of the Sudan,"official, English"
Sudan,Sudan,English
Sudan,The Sudan,alternate English
Suriname,Dutch Guiana,"former, English"
Suriname,Netherlands Guiana,"former official, English"
Suriname,Republic of Suriname,"official, English"
Suriname,Republiek Suriname,"official, Dutch"
Suriname,Surinam,until 1978
Suriname,Suriname,"common, English"
Sweden,Kingdom of Sweden,"official, English"
Sweden,Konungariket Sverige,"official, Swedish"
Sweden,Svea Rike,"possibly former/poetical, Swedish"
Sweden,Sverige,"common, Swedish, Danish, Norwegian"
Sweden,Svitjod,Old Norse
Sweden,Sweden,"common, English"
Sweden,Thule,"Latin name, also poetic"
Switzerland,CH,"initialism, English"
Switzerland,Confédération suisse,"official, French"
Switzerland,Confederazione Svizzera,"official, Italian"
Switzerland,Confederaziun Svizra,"official, Romansh"
Switzerland,Confoederatio Helvetica,
Switzerland,Helvetia,"Latin, sometimes used officially"
Switzerland,Schweiz,"common, German, Danish, Swedish"
Switzerland,Schweizerische Eidgenossenschaft,"official, German"
Switzerland,Suisse,"common, French"
Switzerland,Svizra,"common, Romansh"
Switzerland,Svizzera,"common, Italian"
Switzerland,Swiss Confederation,"official, English"
Switzerland,Switzerland,"common, English"
Chinese Taipei,Cathay,"obsolete, now mainly used poetically"
Chinese Taipei,Chinese Taipei,English
Chinese Taipei,Formosa,"former, English"
Chinese Taipei,Free China,"obsolete, pro-Nationalist"
Chinese Taipei,Kinmen and Matsu,
Chinese Taipei,Nationalist China,"obsolete, but still mainly used by Western countries"
Chinese Taipei,Penghu,
Chinese Taipei,Province of China,UN designation
Chinese Taipei,Qing dynasty,former name
Chinese Taipei,Republic of China,"official, English"
Chinese Taipei,ROC,"initialism, English"
Chinese Taipei,Separate Customs Territory of Taiwan,English
Chinese Taipei,Taipei,English
Chinese Taipei,Taiwan,"common, English"
Chinese Taipei,Zhonggua Taipei,"international designation, pinyin"
Chinese Taipei,中國,"more common until 1971, ambiguous"
Chinese Taipei,中華台北,international designation
Chinese Taipei,中華民國,"official, Chinese"
Chinese Taipei,台灣,"common, Chinese"
Chinese Taipei,台灣、澎湖、金門及馬祖個別關稅領域,international designation
Chinese Taipei,臺灣,
Tanzania,Deutsch-Ostafrika,"together with Ruanda and Urundi means German East Africa, colonial name until 1918"
Tanzania,Tanzania,"common, English"
Tanzania,United Republic of Tanganyika and Zanzibar,"former, English"
Tanzania,United Republic of Tanzania,"official, English"
Thailand,Kingdom of Thailand,"official, English"
Thailand,Siam,"former, English"
Thailand,Thailand,"common, English"
Thailand,ประเทศไทย,"common, Thai"
Thailand,ประเทศสยาม,"former, Thai"
Thailand,ราชอาณาจักรไทย,"official, Thai"
Trinidad & Tobago,Iere,"poetic, ""Land of the Hummingbird,"" believed to be derived from Arawak"
Trinidad & Tobago,Republic of Trinidad and Tobago,"official, English"
Trinidad & Tobago,Trinbago,"informal, English"
Trinidad & Tobago,Trinidad and Tobago,"common, English"
Tunisia,Republic of Tunisia,"official, longform"
Tunisia,Tunisia,"official shortform name, English"
Tunisia,الجمهورية التونسية,"official, Arabic"
Tunisia,تونس,"official, Arabic"
Turkey,Anatolia,"geographical, English"
Turkey,Asia Minor,"geographical, English"
Turkey,Ottoman Empire,"former, English"
Turkey,Porte or Sublime Porte,the former Ottoman state
Turkey,Republic of Turkey,"official, English"
Turkey,Turkey,English
Turkey,Turkish Empire,"former unofficial, English"
Turkey,Türkiye Cumhuriyeti,"official, Turkish"
Ukraine,Kievan Rus,Former name for of East Slavic tribes in Europe from the late 9th to the mid-13th century
Ukraine,Kingdom of Galicia–Volhynia,
Ukraine,Kingdom of Ruthenia,historic name of Western Ukraine
Ukraine,UA,"initialism, English"
Ukraine,UKR.,"initialism, English"
Ukraine,Ukraine,"official, English"
Ukraine,Ukraїna,Ukrainian
Ukraine,Zaporizhian Host,is an adopted name in historiography for the Ukrainian Cossack state on the territory of Dnieper Ukraine and Siveria that existed between 1649 and 1764
United Arab Emirates,Al Emirat al Arabbiya al Muttahida,"official, Arabic"
United Arab Emirates,Trucial States,prior to 1971
United Arab Emirates,U.A.E.,English initialism
United Arab Emirates,UAE,English initialism
United Arab Emirates,United Arab Emirates,English
United Kingdom,Alba,"Scottish, Gaelic-refers specifically to Scotland"
United Kingdom,Albion,"poetic, Latin"
United Kingdom,Anglia,"poetic, Latin, refers specifically to England"
United Kingdom,Britain,colloquial
United Kingdom,Britannia,"poetic, Latin"
United Kingdom,Caledonia,"poetic, Latin-refers specifically to Scotland"
United Kingdom,Cambria,"poetic, Latin-refers to Wales"
United Kingdom,Cymru,"official, Welsh-refers specifically to Wales"
United Kingdom,Great Britain,colloquial
United Kingdom,Perfidious Albion,if said by an old enemy mainly humorous today
United Kingdom,U.K.,"initialism, English"
United Kingdom,UK,"initialism, English"
United Kingdom,Ulster,"colloquial, refers specifically to Northern Ireland"
United Kingdom,United Kingdom,"short form, English"
United Kingdom,United Kingdom of Great Britain and Northern Ireland,"official, English"
United States,Alleghany,names proposed after American Revolutionary War
United States,America,colloquial
United States,Appalachia,"Latin, poetic"
United States,Columbia,"Latin, poetic"
United States,Freedonia,"Latin, poetic"
United States,the States,colloquial
United States,U.S.,"initialism, English"
United States,U.S.A,"initialism, English"
United States,U.S.A.,"initialism, English"
United States,United States,"shortened form, English"
United States,United States of America,"official, English"
United States,US,"initialism, English"
United States,USA,"initialism, English"
United States,Usa,"initialism, English"
United States,Usonia,used by James Duff Law and popularized by Frank Lloyd Wright
United States,Usono,"Esperanto; comes from Usona "
Vanuatu,New Hebrides,former name under British and French condominium rule from 1906 to 1980
Vanuatu,Niuhebridis,Bislama
Vanuatu,Nouvelles Hebrides,former official name in French
Vanuatu,République de Vanuatu,French
Vanuatu,Ripablik blong Vanuatu,Bislama
Vanuatu,Vanuatri,jocular name used in humour
Vanuatu,Vanuatu,"common, English"
Vietnam,An Nam,former name in other foreign languages
Vietnam,Champa,historical kingdom
Vietnam,Cộng hòa Xã hội Chủ nghĩa Việt Nam,"official, Vietnamese"
Vietnam,Đại Việt,historical kingdom
Vietnam,Democratic Republic of Vietnam,English
Vietnam,French Indochina,"former name under French colonization when united with Laos and Cambodia, English"
Vietnam,Giao Chỉ,former Chinese province or vassal kingdom
Vietnam,Lĩnh Nam,poetic name
Vietnam,Republic of Vietnam,South Vietnam from 1954 to 1975
Vietnam,S.R.V.,English initialism
Vietnam,Socialist Republic of Vietnam,"official, English"
Vietnam,SRV,English initialism
Vietnam,V.N.,English initialism
Vietnam,Việt Nam,"short form, Vietnamese"
Vietnam,Vietnam,"common, English"
Vietnam,VN,English initialism
Zambia,Northern Rhodesia,"former, English"
Zambia,Republic of Zambia,"official, English"
Zambia,Zambia,"common, English"
Zimbabwe,Republic of Rhodesia,"former names, English"
Zimbabwe,Republic of Zimbabwe,"official, English"
Zimbabwe,Rhodesia,"former names, English"
Zimbabwe,Southern Rhodesia,"former, English"
Zimbabwe,Zimbabwe,"common, English"
Serbia,Raška,alternative name in medieval times
Serbia,Republic of Serbia,"official, English"
Serbia,Republika Srbija,"official, Serbian"
Serbia,Serbia,"common, English"
Serbia,Serbia and Montenegro,"former common, English"
Serbia,Servia,"archaic, English"
Serbia,Srbija,"common, Serbian"
Serbia,Yugoslavia,"former common, English"
Montenegro,Black Mountain,literal translation
Montenegro,Crna Gora,"official, Montenegrin, Serbian and Croatian"
Montenegro,Duklja,name in medieval times
Montenegro,Karadag,"official, Turkish"
Montenegro,Mali i Zi,"official, Albanian"
Montenegro,Montenegro,"official, English and other languages"
Montenegro,Republic of Montenegro,"official until 2007, English"
Montenegro,Republika Crna Gora,official until 2007
Montenegro,Zeta,alternative name in medieval times
Albania,Albania,"common, English"
Albania,Arbanon,"former, English"
Albania,Arnavutluk,Turkish
Albania,Republic of Albania,"official, English"
Albania,Republika e Shqipërisë,"official, Albanian"
Algeria,al Jumhuriyya al Jazaa'iriyya ad-Dīmuqrāţiyya ash Sha'biyya,"official, Arabic"
Algeria,Algeria,"common, English"
Algeria,al-Jazā’ir,"common, Arabic"
Algeria,People's Democratic Republic of Algeria,"official, English"
Puerto Rico,Associated Free State of Puerto Rico,non-official literal translation to English of the official Spanish name
Puerto Rico,Borikén,
Puerto Rico,Borinken,former Taíno name also used colloquially and among nationalists
Puerto Rico,Borinquen,
Puerto Rico,Commonwealth of Puerto Rico,"official, English"
Puerto Rico,Estado Libre Asociado de Puerto Rico,"official, Spanish"
Puerto Rico,Porto Rico,"archaic, English"
Puerto Rico,Puerto Rico,"common, English and Spanish"
Kosovo,Kosovo,"common, English"
Kosovo,Republic of Kosovo,"official, English"
Kosovo,Republika e Kosovës,"official, Albanian"
Trinidad & Tobago,Trinidad,"common, English"
Trinidad & Tobago,Tobago,"common, English"
